,watch name,watch price
0,LS3078 All Black Day & Date Functioning Long Life Black...,"<div class=""_30jeq3"">₹428</div>"
1,LS2734 Wolf Gents Exclusive Mesh Strap Analog Analog Wa...,"<div class=""_30jeq3"">₹223</div>"
2,38024PP25 Minimalists Analog Watch  - For Men,"<div class=""_30jeq3"">₹765</div>"
3,NEW GENERATION BLACK DIAL BLACK STRAP WATCHES Mens Watc...,"<div class=""_30jeq3"">₹246</div>"
4,LS2856 Day and Date Function Steel Strap Quartz Analog ...,"<div class=""_30jeq3"">₹265</div>"
5,LCS-8188 TRENDING DAY & DATE FUNCTIONING Analog Watch  ...,"<div class=""_30jeq3"">₹252</div>"
6,Arrow Blk Arrow Boys Mens Black Wrist Watch For Boys An...,"<div class=""_30jeq3"">₹179</div>"
7,LS2972 Mesh Strap Day and Date Functions All Black Quar...,"<div class=""_30jeq3"">₹299</div>"
8,1170-BL-BR Unique New Day & Date Analog Watch  - For Me...,"<div class=""_30jeq3"">₹255</div>"
9,1195-WH White Unique Analog Watch  - For Men,"<div class=""_30jeq3"">₹205</div>"
10,DBRW385-DBRWN Day and Date Boy's & Man's Stylish Analog...,"<div class=""_30jeq3"">₹250</div>"
11,LS2727 Avatar Day and Date Functioning Crocodile Strap ...,"<div class=""_30jeq3"">₹284</div>"
12,CSD-276-GLD Original Gold Plating Day and Date Series A...,"<div class=""_30jeq3"">₹261</div>"
13,Men's Steel Chain RB03 Silver Blue Men style Boys Hand ...,"<div class=""_30jeq3"">₹169</div>"
14,HMTY-7008 ORIGINAL GOLD PLATED DAY & DATE FUNCTIONING F...,"<div class=""_30jeq3"">₹384</div>"
15,Mesh Strap All Blue Men Watch & Free Premium King Stone...,"<div class=""_30jeq3"">₹239</div>"
16,LS3223 Black Chain Strap Day and Date Functioning Moon ...,"<div class=""_30jeq3"">₹299</div>"
17,LS2820 Bleed Blue Day and Date Functioning Steel Strap ...,"<div class=""_30jeq3"">₹319</div>"
18,Men Sport Watch High-end Silicone Strap Military Wrist ...,"<div class=""_30jeq3"">₹241</div>"
19,1164-BR Brown Day and Date Unique New Analog Watch  - F...,"<div class=""_30jeq3"">₹255</div>"
20,PH-1424 Modern Colletion Combo Analog Watch  - For Men,"<div class=""_30jeq3"">₹355</div>"
21,JM328 Black Leather Strap Day & Date Feature Dial Analo...,"<div class=""_30jeq3"">₹241</div>"
22,Leather Strap New Dial New Arrival Watch New Fashion St...,"<div class=""_30jeq3"">₹218</div>"
23,EH-226-OLIVE Olive Day and Date Analog Watch  - For Men,"<div class=""_30jeq3"">₹319</div>"
24,Combo Pack Of 2 New Arrival Black & Brown Analog Watch ...,"<div class=""_30jeq3"">₹269</div>"
25,ES109 Chronograph Pattern Combo of 3 watches Analog Wat...,"<div class=""_30jeq3"">₹496</div>"
26,Combo Pack Of 2 Brown & Blue Strap Watch For Boys Analo...,"<div class=""_30jeq3"">₹254</div>"
27,233WDTG TIMEWEAR White Number Dial Brown Leather Strap ...,"<div class=""_30jeq3"">₹248</div>"
28,TW00ZR347 Analog Watch  - For Men,"<div class=""_30jeq3"">₹749</div>"
29,ANLG-428-BLUE-BLUE-21-WAYFARER Freebie Wayfarer Sunglas...,"<div class=""_30jeq3"">₹229</div>"
30,216- BR-BK stylish different colored Watch combo Analog...,"<div class=""_30jeq3"">₹336</div>"
31,2049-WH White Day and Date Analog Watch  - For Men,"<div class=""_30jeq3"">₹319</div>"
32,Stylish Brown Sports Men Watches Multifunctional Luxury...,"<div class=""_30jeq3"">₹404</div>"
33,D&D C22 BLUE BLACK Classy Look Blue Dial and Black Chai...,"<div class=""_30jeq3"">₹256</div>"
34,32-BK-CK Analogue Display with Exclusive Design Analog ...,"<div class=""_30jeq3"">₹202</div>"
35,38024PP24 Minimalists Analog Watch  - For Men,"<div class=""_30jeq3"">₹680</div>"
36,1149-BL Day and Date Analog Watch  - For Men,"<div class=""_30jeq3"">₹299</div>"
37,5087-BR-BK stylish different colored Watch combo Analog...,"<div class=""_30jeq3"">₹314</div>"
38,LS2821 Bleed Blue Day and Date Functioning Strap Adult ...,"<div class=""_30jeq3"">₹299</div>"
39,2038-WH Day and Date Analog Watch  - For Men,"<div class=""_30jeq3"">₹261</div>"
